"フィールド名/fieldName","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields"
"ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG",
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING",
"MONTH","月","Month","month","STRING",
"DAY","日","Daily","day","STRING",
"DELIVER","広告掲載方式","Ad Distribution","deliverName","STRING",
"DEVICE","デバイス","Device","device","STRING",
"SITE_CATEGORY","サイトカテゴリー名","Site Category","siteCategory","STRING",
"CONVERSION_LABEL","コンバージョンラベル名","Conversion Name","conversionName","STRING","[AUTO_VIDEO_PLAYS, AVG_CPC, AVG_CPV, AVG_DELIVER_RANK, AVG_DURATION_VIDEO_VIEWED, AVG_PERCENT_VIDEO_VIEWED, CLICK, CLICK_RATE, CLICK_VIDEO_PLAYS, CONVERSION_RATE_OLD, CONV_RATE, COST, COST_PER_CONV, CPA_OLD, IMPS, VIDEO_PLAYS, VIDEO_VIEWED_RATE, VIDEO_VIEWS_TO_100, VIDEO_VIEWS_TO_25, VIDEO_VIEWS_TO_50, VIDEO_VIEWS_TO_75, VIDEO_VIEWS_TO_95]"
"CONVERSION_CATEGORY","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","STRING","[AUTO_VIDEO_PLAYS, AVG_CPC, AVG_CPV, AVG_DELIVER_RANK, AVG_DURATION_VIDEO_VIEWED, AVG_PERCENT_VIDEO_VIEWED, CLICK, CLICK_RATE, CLICK_VIDEO_PLAYS, CONVERSION_RATE_OLD, CONV_RATE, COST, COST_PER_CONV, CPA_OLD, IMPS, VIDEO_PLAYS, VIDEO_VIEWED_RATE, VIDEO_VIEWS_TO_100, VIDEO_VIEWS_TO_25, VIDEO_VIEWS_TO_50, VIDEO_VIEWS_TO_75, VIDEO_VIEWS_TO_95]"
"CARRIER","キャリア","Carrier","carrier","STRING",
"OS","OS","OS","os","STRING",
"APPLI","ウェブ/アプリ","Web/App","appli","STRING",
"CAMPAIGN_TYPE","キャンペーンタイプ","Campaign Type","campaignType","STRING",
"APP_ID","アプリID/パッケージ名","App ID/Package name","appID","STRING",
"APP_NAME","アプリ名","App Name","appName","STRING",
"APP_OS","アプリOS","App OS","appOS","STRING",
"IMPS","インプレッション数","Impressions","impressions","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"COST","コスト","Cost","cost","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"CLICK","クリック数","Clicks","clicks","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"CONVERSION_OLD","コンバージョン数（旧）","Conversions (old)","totalConversionsOld","LONG",
"CONVERSION_RATE_OLD","コンバージョン率（旧）","Conversion Rate (old)","totalConversionRateOld","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"CPA_OLD","コスト/コンバージョン数（旧）","Cost per Conversions (old)","costTotalConversionsOld","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"AVG_DELIVER_RANK","平均掲載順位","Avg. Position","averagePosition","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"REVENUE_OLD","合計売上金額（旧）","Revenue (old)","totalRevenueOld","LONG",
"REVENUE_CONVERSION_OLD","売上/コンバージョン数（旧）","Revenue per Conversions (old)","revenueTotalConversionOld","DOUBLE",
"AUTO_VIDEO_PLAYS","動画の自動再生数","Auto Video Plays","autoVideoPlays","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"CLICK_VIDEO_PLAYS","クリックによる動画再生数","Click Video Plays","clickVideoPlays","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"VIDEO_VIEWED_RATE","動画の再生率","Video Viewed Rate","videoViewedRate","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"AVG_CPV","平均CPV","Average CPV","avgCpv","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"VIDEO_PLAYS","動画が再生開始された回数","Video Plays","videoPlays","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"VIDEO_VIEWS_TO_25","動画が25%まで再生された回数","Video Views to 25%","videoViewsTo25","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"VIDEO_VIEWS_TO_50","動画が50%まで再生された回数","Video Views to 50%","videoViewsTo50","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"VIDEO_VIEWS_TO_75","動画が75%まで再生された回数","Video Views to 75%","videoViewsTo75","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"VIDEO_VIEWS_TO_95","動画が95%まで再生された回数","Video Views to 95%","videoViewsTo95","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"VIDEO_VIEWS_TO_100","動画が100%まで再生された回数","Video Views to 100%","videoViewsTo100","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"AVG_PERCENT_VIDEO_VIEWED","動画の平均再生率","Average % of Video Viewed","avgPercentVideoViewed","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"AVG_DURATION_VIDEO_VIEWED","動画の平均再生時間（秒）","Average Duration of Video Viewed","avgDurationVideoViewed","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"CONVERSIONS","コンバージョン数","Conversions","conversions","LONG",
"CONV_RATE","コンバージョン率","Conversion Rate","convRate","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"COST_PER_CONV","コスト/コンバージョン数","Cost per Conversions","costPerConv","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"REVENUE","合計売上金額","Revenue","revenue","LONG",
"REVENUE_PER_CONV","売上/コンバージョン数","Revenue per Conversions","revenuePerConv","LONG",
